"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        @P2
        Scenario: Delete the Search by Serial Number filter
        Given ""Video Reviewer Plus"" user is in VIDEO SEARCH
        And the serial number is in search by Serial Number filter
        And all the vehicles attached ER with the serial number characters are filtered out
        When the user clicks ""X"" button in the filter
        Then the Serial Number filter is cleared
        And the vehicle list is reset
        And the vehicle count number is updated
        ","40022","test_delete_serial_number_filter[QM40849291-QM40849291]","tests","2026-01-08","passed","2026-01-08","TestFilterClearing","test_LQ_15231","",""
"Test to verify that the vehicle browse page loads correctly with vehicle count displayed","35385","Verify vehicle page loads successfully","tests","2026-01-08","passed","2026-01-08","TestBrowsePage","test_browse_page","",""
"End-to-end test covering complete browse page workflow","97989","Complete browse workflow","tests","2026-01-08","broken","2026-01-08","TestBrowsePage","test_browse_page","",""
"Test to change page size to display 100 vehicles per page","40618","Set page size to 100","tests","2026-01-08","passed","2026-01-08","TestBrowsePage","test_browse_page","",""
"
        @P2
        Scenario: Delete the group filter
        Given ""Video Reviewer Plus"" user is in VIDEO SEARCH
        And the group is in group filter
        And the vehicles in the group are filtered out
        When the user clicks ""X"" button in group filter
        Then the group filter is cleared
        And the vehicle list is reset
        And the vehicle count number is updated
        ","30532","test_delete_group_filter[Lab Test-5100ffff-60b6-d6cd-18b2-a8a3e03f0000]","tests","2026-01-08","passed","2026-01-08","TestFilterClearing","test_LQ_15231","",""
"
        @P2
        Scenario: Delete the Search by Serial Number filter
        Given ""Video Reviewer Plus"" user is in VIDEO SEARCH
        And the serial number is in search by Serial Number filter
        And all the vehicles attached ER with the serial number characters are filtered out
        When the user clicks ""X"" button in the filter
        Then the Serial Number filter is cleared
        And the vehicle list is reset
        And the vehicle count number is updated
        ","39218","test_delete_serial_number_filter[QM408-QM40849291]","tests","2026-01-08","passed","2026-01-08","TestFilterClearing","test_LQ_15231","",""
"Test to verify that snapshot images are displayed for a vehicle","36203","Verify snapshot images display","tests","2026-01-08","passed","2026-01-08","TestBrowsePage","test_browse_page","",""
"
        @P2
        Scenario: Delete the Search by vehicle name filter
        Given ""Video Reviewer Plus"" user is in VIDEO SEARCH
        And the vehicle name is in search by vehicle name filter
        And all the vehicles that name contains the vehicle name are filtered out
        When the user clicks ""X"" button in the filter
        Then the search by vehicle name filter is cleared
        And the vehicle list is reset
        And the vehicle count number is updated
        ","39153","test_delete_vehicle_name_filter[QM40849291-QM40849291]","tests","2026-01-08","passed","2026-01-08","TestFilterClearing","test_LQ_15231","",""
"Test to verify that map is displayed for a vehicle","35140","Verify map display","tests","2025-12-04","failed","2025-12-04","TestBrowsePage","test_browse_page","",""
"
        @P2
        Scenario: Delete the Search by vehicle name filter
        Given ""Video Reviewer Plus"" user is in VIDEO SEARCH
        And the vehicle name is in search by vehicle name filter
        And all the vehicles that name contains the vehicle name are filtered out
        When the user clicks ""X"" button in the filter
        Then the search by vehicle name filter is cleared
        And the vehicle list is reset
        And the vehicle count number is updated
        ","39477","test_delete_vehicle_name_filter[QM408-QM40849291]","tests","2026-01-08","passed","2026-01-08","TestFilterClearing","test_LQ_15231","",""
"Test to browse the first vehicle and navigate back","40621","Browse first vehicle","tests","2026-01-08","passed","2026-01-08","TestBrowsePage","test_browse_page","",""
"
        @P2
        Scenario: the vehicle list is updated accordingly when delete the charactors
        Given ""Video Reviewer Plus"" user is in VIDEO SEARCH
        And the full serial number is in search by Serial Number filter
        And all the vehicles attached ER with the full serial number charactors are filtered out
        When the user deletes some charactors from the filter
        Then the vehicle list is updated accordingly
        And the vehicle count number is updated accordingly
        ","46774","test_vehicle_list_update_on_partial_delete[QM40849291-QM40849291]","tests","2026-01-08","passed","2026-01-08","TestFilterClearing","test_LQ_15231","",""
"End-to-end test covering complete browse page workflow","34272","Complete browse workflow","","2025-12-04","passed","2025-12-04","","","",""
"
        @P2
        Scenario: the vehicle list is updated accordingly when delete the charactors
        Given ""Video Reviewer Plus"" user is in VIDEO SEARCH
        And the full serial number is in search by Serial Number filter
        And all the vehicles attached ER with the full serial number charactors are filtered out
        When the user deletes some charactors from the filter
        Then the vehicle list is updated accordingly
        And the vehicle count number is updated accordingly
        ","48499","test_vehicle_list_update_on_partial_delete[QM408-QM40849291]","tests","2026-01-08","passed","2026-01-08","TestFilterClearing","test_LQ_15231","",""
